Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-10-02 07:44:57,false,"3km + 5x1.5km p. 1:45' + 2km","15.54","692","01:14:41","141","163","4.0","164","236","4:48","3:25","168","123","1.23","8.3","10.1","240","4:46","241","0.0","232","343","12,520","-20","No","00:00:05.4","23","01:13:54","01:34:50","1,415","1,554"
Running,2025-09-30 16:44:49,false,"Easy Run","14.25","650","01:09:50","141","152","3.8","171","181","4:54","3:48","78","49","1.18","8.5","10.1","244","4:54","232","0.0","231","308","11,880","-15","No","00:01:12.3","15","01:09:42","01:18:44","187","213"
Running,2025-09-26 16:19:21,false,"4km + 5x20"/40" + 1km","6.33","293","00:30:07","149","165","3.4","169","189","4:46","2:58","25","20","1.24","8.6","10.6","246","4:45","248","0.0","245","347","5,050","-7","No","00:00:18.2","16","00:30:04","00:30:58","197","212"
Treadmill Running,2025-09-24 15:47:31,false,"Bieg na bieżni","7.00","346","00:35:00","156","177","3.5","165","173","5:00","3:06","--","--","1.68","7.4","12.4","222","--","295","0.0","295","336","5,774","-9","No","00:02:30.7","10","00:34:58","00:35:00","--","--"
Running,2025-09-21 13:44:49,false,"4km + 2x7x400m p.1:30'/3' + 2km","14.13","734","01:16:11","153","178","4.6","146","237","5:23","3:05","51","42","1.24","8.2","9.8","237","5:22","246","0.0","207","400","11,616","-17","No","00:00:05.5","35","01:10:36","01:27:28","194","208"
Running,2025-09-20 12:35:45,false,"Easy Run","12.10","592","00:59:10","155","173","4.5","170","181","4:53","4:23","35","33","1.20","8.6","10.4","247","4:53","236","0.0","235","311","10,012","-14","No","00:00:27.3","13","00:59:08","00:59:10","197","208"
Running,2025-09-18 06:53:21,false,"3km + 8x1km p.1:40' + 2km","15.07","703","01:12:57","151","173","4.2","163","181","4:50","3:29","48","27","1.26","8.2","10.0","237","4:49","245","0.0","230","360","12,060","--","No","00:00:11.3","22","01:11:55","01:22:08","188","206"
Running,2025-09-16 16:32:02,false,"Easy Run","12.15","570","01:00:21","146","158","3.9","170","179","4:58","4:19","38","29","1.18","8.7","10.3","249","4:58","234","0.0","233","282","10,176","-13","No","00:00:43.9","13","01:00:18","01:00:21","189","208"
Running,2025-09-14 10:28:25,false,"4km + 2x8x300m p.1:30'/2' + 2km","14.61","671","01:14:27","139","170","3.8","156","186","5:06","3:10","39","23","1.22","8.3","9.8","239","5:02","227","0.0","209","343","12,134","-21","No","00:00:05.3","39","01:13:12","01:25:59","193","207"
Running,2025-09-13 09:18:01,false,"Easy Run","12.23","586","00:59:13","155","163","4.3","171","177","4:51","4:25","18","12","1.21","8.5","10.3","245","4:51","231","0.0","230","264","10,014","-14","No","00:01:05.3","13","00:59:10","00:59:55","84","96"
Running,2025-09-11 16:33:05,false,"3km + 4x1.5km / 2’ + 2km","12.56","583","00:58:58","153","177","4.4","164","180","4:42","3:20","57","36","1.27","8.2","10.3","238","4:41","246","0.0","236","358","9,782","-15","No","00:00:15.6","18","00:58:37","01:11:00","188","206"
Running,2025-09-09 15:51:23,false,"Easy Run","12.16","602","01:00:05","156","167","4.4","169","177","4:56","3:56","37","34","1.19","8.7","10.4","248","4:57","236","0.0","234","301","10,128","-12","No","00:00:47.4","13","01:00:01","01:00:57","195","207"
Running,2025-09-06 19:59:23,false,"Warszawa Bieganie","3.02","153","00:16:35","146","153","2.4","166","174","5:29","4:59","11","7","1.10","9.4","10.3","263","5:27","216","0.0","215","274","2,732","-3","No","00:00:06.4","4","00:16:33","00:16:38","82","88"
Running,2025-09-06 19:30:45,false,"Praska Piątka l","5.06","205","00:19:33","159","170","3.3","174","196","3:52","3:13","16","17","1.48","7.4","10.9","219","3:53","296","0.0","294","375","3,398","-4","No","00:00:11.2","6","00:19:32","00:19:33","79","93"
Running,2025-09-06 19:02:57,false,"Warszawa Bieganie","3.03","148","00:16:51","136","151","2.4","150","190","5:34","2:55","13","12","1.16","8.9","10.0","253","5:32","217","0.0","199","403","2,616","-3","No","00:00:20.6","7","00:16:37","00:17:11","82","93"
Running,2025-09-04 17:51:45,false,"Easy Run","6.21","292","00:30:00","149","159","3.4","170","177","4:50","4:26","16","12","1.22","8.6","10.5","247","4:50","233","0.0","233","282","5,062","-7","No","00:00:57.3","7","00:29:58","00:30:00","195","206"
Running,2025-09-02 16:30:19,false,"4km + 10x400m / 2’ + 2km","13.41","661","01:07:15","157","176","4.6","157","187","5:01","3:15","44","24","1.24","8.6","10.4","247","4:59","239","0.0","222","376","10,810","-17","No","00:00:04.9","27","01:05:59","01:19:30","193","206"
Running,2025-08-30 17:59:45,false,"8km + 10x20”/40” + 2km","12.05","556","00:56:42","151","167","4.1","167","190","4:42","2:55","15","10","1.26","8.4","10.5","243","4:41","246","0.0","243","422","9,476","-13","No","00:00:02.5","31","00:56:35","00:59:46","176","183"
Running,2025-08-28 16:33:29,false,"Łódź Bieganie","12.01","548","00:57:39","148","171","4.1","170","183","4:48","3:27","48","35","1.21","8.5","10.3","244","4:49","238","0.0","238","320","9,758","-13","No","00:00:02.5","13","00:57:29","01:05:17","193","207"
Running,2025-08-26 16:26:05,false,"3km + 6x1km / 2’ + 2km","13.17","586","01:02:12","145","167","4.0","162","180","4:43","3:26","40","19","1.28","8.3","10.5","239","4:42","246","0.0","235","369","10,270","-16","No","00:00:14.1","18","01:01:28","01:11:45","187","207"
Running,2025-08-24 08:12:25,false,"Łódź Bieganie","12.11","560","00:58:49","148","161","4.0","170","177","4:51","3:55","44","34","1.21","8.6","10.4","246","4:52","240","0.0","238","295","9,998","-17","No","00:00:28.3","13","00:58:44","00:59:33","187","209"
Running,2025-08-22 07:00:21,false,"Łódź Bieganie","10.41","492","00:50:28","152","172","4.0","171","190","4:51","2:58","43","21","1.19","8.5","10.1","244","4:51","233","0.0","230","357","8,544","-16","No","00:00:20.3","29","00:50:20","00:53:36","187","210"
Running,2025-08-20 16:21:33,false,"Łódź Bieganie","10.02","480","00:49:32","151","163","4.0","170","179","4:57","4:16","24","24","1.19","8.6","10.3","247","4:57","233","0.0","230","291","8,338","-11","No","00:00:05.2","11","00:49:29","00:49:39","196","207"
Running,2025-08-17 17:56:53,false,"Łódź Bieganie","7.04","322","00:34:02","144","157","3.4","170","177","4:50","4:23","24","22","1.22","8.6","10.5","246","4:51","240","0.0","238","306","5,738","-8","No","00:00:10.4","8","00:34:00","00:34:28","195","209"
Running,2025-08-16 16:43:58,false,"Inowłódz Bieganie","6.60","277","00:30:47","135","159","3.2","170","179","4:40","4:01","19","13","1.24","8.3","10.3","239","4:41","247","0.0","245","304","5,236","-7","No","00:02:51.4","7","00:30:41","00:33:33","158","167"
Running,2025-08-15 11:01:15,false,"Łódź Bieganie","10.01","483","00:47:12","158","177","4.6","171","179","4:43","4:09","33","37","1.24","8.4","10.5","243","4:43","244","0.0","242","305","7,982","-14","No","00:00:01.9","11","00:47:09","00:47:12","225","239"
Running,2025-08-11 15:03:24,false,"Łódź Bieganie","10.01","480","00:46:47","156","173","4.6","171","181","4:40","3:54","30","27","1.25","8.3","10.4","241","4:41","239","0.0","238","284","7,986","-13","No","00:00:03.0","11","00:46:43","00:46:59","194","209"
Running,2025-08-08 18:45:57,false,"Łódź Bieganie","9.01","440","00:43:16","157","170","4.3","168","176","4:48","3:50","26","21","1.22","8.6","10.5","245","4:48","241","0.0","239","334","7,280","-8","No","00:00:03.1","10","00:43:14","00:43:16","193","207"
Running,2025-08-06 18:53:33,false,"Łódź Bieganie","10.04","492","00:46:42","159","174","4.8","170","181","4:39","3:49","31","23","1.26","8.4","10.6","242","4:39","249","0.0","247","350","7,890","-9","No","00:00:09.3","11","00:46:40","00:46:42","189","207"
Running,2025-08-03 19:16:40,false,"Łódź Bieganie","8.01","386","00:38:33","151","165","3.8","171","179","4:49","4:16","26","19","1.21","8.5","10.3","243","4:48","233","0.0","232","280","6,574","-9","No","00:00:04.6","9","00:38:31","00:38:33","192","209"
Running,2025-07-28 16:02:04,false,"Łódź Bieganie","6.06","266","00:28:07","138","149","3.2","171","179","4:39","3:00","18","14","1.25","8.3","10.3","240","4:39","250","0.0","247","419","4,810","-7","No","00:00:02.2","8","00:28:04","00:28:34","190","208"
Running,2025-07-26 18:18:15,false,"Łódź Bieganie","3.01","142","00:14:06","151","165","2.9","168","176","4:41","4:22","10","7","1.26","8.5","10.8","245","4:41","242","0.0","239","279","2,360","-2","No","00:00:01.8","4","00:14:05","00:14:06","197","206"
Running,2025-07-24 07:45:26,false,"Łódź Bieganie","5.01","224","00:22:33","144","164","3.2","169","176","4:30","4:05","16","11","1.31","8.3","10.8","240","4:31","258","0.0","256","299","3,810","-8","No","00:00:02.4","6","00:22:31","00:23:05","194","208"
Running,2025-07-22 08:29:05,false,"Łódź Bieganie","1.54","68","00:07:38.6","131","145","2.0","166","174","4:58","4:14","15","3","1.19","8.8","10.5","251","4:56","236","0.0","234","295","1,272","-2","No","00:02:39.9","2","00:07:35","00:07:48.4","193","210"
Running,2025-07-19 18:57:59,false,"Stegna Bieganie","3.05","139","00:14:45","138","159","2.6","167","177","4:50","4:14","10","4","1.23","8.6","10.5","247","4:51","234","0.0","234","270","2,498","-3","No","00:00:15.8","4","00:14:41","00:15:46","6","14"
Running,2025-07-15 17:22:21,false,"Łódź Bieganie","2.11","93","00:10:24","131","142","2.1","162","173","4:56","4:00","12","5","1.23","8.9","11.0","254","4:57","237","0.0","234","306","1,698","-2","No","00:00:31.6","3","00:10:21","00:10:58","195","208"
Running,2025-07-10 16:40:41,false,"3km + 8km (4:14)","11.12","446","00:49:23","136","149","3.4","165","175","4:27","3:39","60","46","1.36","8.4","11.4","244","4:28","274","0.0","270","367","8,102","-12","No","00:00:05.7","13","00:49:16","00:56:22","194","208"
Running,2025-07-08 07:12:46,false,"Easy Run","14.01","655","01:08:58","146","156","4.0","162","169","4:55","4:29","43","33","1.25","9.1","11.5","259","4:55","237","0.0","236","264","11,132","-18","No","00:00:01.7","15","01:08:55","01:08:58","190","207"
Running,2025-07-06 18:28:23,false,"6km + 10x40” /1:20’ + 2km","12.05","573","00:58:44","150","173","4.1","157","186","4:52","2:54","33","27","1.28","8.9","11.2","255","4:50","239","0.0","231","381","9,372","-13","No","00:00:18.4","29","00:58:27","01:03:05","197","206"
Running,2025-07-05 18:24:15,false,"Easy Run","12.11","580","01:00:45","147","156","3.9","160","170","5:01","3:59","40","31","1.25","9.4","11.7","265","5:01","235","0.0","235","306","9,678","--","No","00:00:33.3","13","01:00:40","01:01:38","194","207"
Running,2025-07-03 17:38:58,false,"3km + 5x1.5km / 1:30’ + 2km","14.06","664","01:04:51","159","176","5.0","158","177","4:37","3:31","55","53","1.36","8.5","11.5","247","4:36","261","0.0","251","385","10,298","-17","No","00:00:07.6","21","01:03:40","01:12:11","193","206"
Running,2025-07-01 07:23:52,false,"Easy Run","12.05","584","00:59:46","151","162","4.1","160","167","4:58","4:25","37","28","1.26","9.3","11.7","264","4:58","235","0.0","235","271","9,542","-17","No","00:00:14.0","13","00:59:44","00:59:46","190","206"
Running,2025-06-29 07:03:26,false,"6km + 10x30”/1’ + 2km","11.02","539","00:54:09","154","169","4.1","159","188","4:55","2:58","25","22","1.27","9.0","11.2","256","4:52","244","0.0","237","396","8,618","-13","No","00:00:04.5","29","00:54:03","00:58:10","195","209"
Running,2025-06-28 07:30:42,false,"Easy Run","12.20","596","00:59:38","154","166","4.3","162","169","4:53","3:56","36","30","1.27","9.1","11.6","260","4:54","246","0.0","244","358","9,598","-16","No","00:00:57.4","13","00:59:31","00:59:38","193","210"
Running,2025-06-26 16:34:14,false,"4km + 6x1km / 1:20’ + 2km","13.81","636","01:04:53","151","172","4.5","159","174","4:42","3:20","42","20","1.33","8.7","11.5","250","4:40","249","0.0","243","339","10,390","-16","No","00:00:05.4","19","01:04:19","01:11:47","191","206"
Running,2025-06-24 07:46:07,false,"Easy Run","12.05","573","00:59:18","147","156","3.9","161","168","4:55","4:04","42","35","1.26","9.2","11.6","261","4:55","245","0.0","243","308","9,536","-17","No","00:00:13.9","13","00:59:14","00:59:22","192","211"
Running,2025-06-22 11:53:42,false,"8km + 10x20”/40” + 2km","12.03","584","00:58:25","153","178","4.3","159","189","4:51","2:45","50","42","1.28","8.9","11.3","257","4:51","244","0.0","241","432","9,334","-15","No","00:00:05.2","31","00:58:16","01:01:29","194","207"
Running,2025-06-21 09:34:04,false,"Easy Run","12.01","569","00:58:39","149","165","4.0","161","177","4:53","3:53","56","39","1.27","9.1","11.5","259","4:53","238","0.0","238","293","9,448","-17","No","00:00:02.5","13","00:58:32","01:01:31","188","208"
Running,2025-06-19 08:36:22,false,"6km + 10x20”/40” + 2km","10.08","490","00:49:03","154","174","3.9","158","231","4:52","2:53","26","16","1.29","9.1","11.5","259","4:51","238","0.0","235","378","7,780","-15","No","00:00:13.4","29","00:48:58","00:52:32","192","208"
Running,2025-06-17 07:45:07,false,"Easy Run","10.03","481","00:49:11","148","161","3.8","161","169","4:54","4:13","31","26","1.27","9.1","11.6","260","4:54","244","0.0","243","306","7,902","-14","No","00:00:08.9","11","00:49:08","00:49:11","193","208"
Running,2025-06-14 07:46:54,false,"Easy Run","10.06","491","00:49:38","152","164","3.9","161","167","4:56","4:19","31","25","1.26","9.2","11.6","262","4:56","237","0.0","236","283","7,948","-15","No","00:00:15.6","11","00:49:34","00:49:38","189","208"
Running,2025-06-13 07:48:35,false,"Easy Run","10.01","487","00:49:08","150","164","3.8","162","171","4:54","4:33","38","30","1.26","9.1","11.5","260","4:54","242","0.0","240","291","7,904","-13","No","00:00:03.3","11","00:49:05","00:49:08","190","211"
Running,2025-06-10 07:26:35,false,"Easy Run","10.01","440","00:49:16","134","140","3.2","162","170","4:55","4:29","32","25","1.26","9.2","11.5","260","4:55","238","0.0","237","277","7,966","-12","No","00:00:01.9","11","00:49:14","00:49:16","190","212"
Running,2025-06-08 10:32:15,false,"Cool down","4.21","206","00:21:01","152","158","3.0","160","167","5:00","4:19","23","3","1.24","9.2","11.5","262","4:58","236","0.0","234","357","3,370","-4","No","00:00:59.6","5","00:20:56","00:21:52","94","113"
Running,2025-06-08 09:59:38,false,"Bieg Ursynowa","5.03","219","00:18:33","173","179","3.8","171","184","3:41","3:11","7","7","1.59","7.3","11.6","217","3:42","301","0.0","300","341","3,148","-9","No","00:00:06.0","6","00:18:30","00:18:33","101","106"
Running,2025-06-08 09:25:48,false,"Warm up","2.57","112","00:13:12","125","161","2.1","154","188","5:09","2:55","15","1","1.22","9.0","10.8","258","5:07","224","0.0","221","374","2,084","-3","No","00:00:03.0","7","00:13:07","00:24:09","99","110"
Running,2025-06-07 08:34:55,false,"4km + 5x20”/40” + 1km","6.27","290","00:30:36","144","160","3.1","157","192","4:53","2:37","19","10","1.27","9.1","11.4","260","4:52","240","0.0","236","411","4,880","-10","No","00:00:05.7","16","00:30:32","00:32:36","193","207"
Running,2025-06-05 18:48:45,false,"6km + 3x30”/1’ + 1km","8.11","380","00:38:53","147","168","3.5","160","186","4:48","2:59","24","19","1.30","9.1","11.8","261","4:49","249","0.0","247","348","6,168","-8","No","00:00:05.2","14","00:38:47","00:41:00","195","206"
Running,2025-06-03 07:13:24,false,"Easy Run","12.08","600","00:59:20","154","164","4.2","161","170","4:55","4:23","37","33","1.26","9.2","11.6","261","4:55","237","0.0","236","282","9,520","-16","No","00:00:24.6","13","00:59:17","00:59:20","194","207"
Running,2025-06-01 08:28:26,false,"4km + 6km (4:23) + 1km + 5x40”/1:20’ + 2km","15.69","754","01:14:24","155","175","4.6","161","181","4:45","3:08","68","32","1.30","8.9","11.4","253","4:43","246","0.0","242","349","11,968","-20","No","00:00:00.5","26","01:14:08","01:25:31","189","208"
Running,2025-05-31 07:32:47,false,"Easy Run","12.15","597","01:00:22","149","162","4.0","161","169","4:58","4:11","33","29","1.25","9.2","11.5","262","4:58","237","0.0","236","306","9,696","-13","No","00:00:45.1","13","01:00:18","01:01:11","194","208"
